ID	ISBN	Price	Title	Teaser	Auth_1	Auth_2	Auth_3	Review	Reviewer	Issue_date	Issue	Record_type	Sub_headline	Headline	Publisher	Pub_date	Categories	SubCategories	Metadata	Image	Field21	Image2	Image3	Image4	Image5	Audio1
4902	9780789210647	$29.95 Paperback	Great Civil War Heroes and Their Battles		Rawls, Walton (ed.)			"<a href="" http://www.abbeville.com/bookpage.asp?ISBN=9780789210647""resource window"" target=""resource window"">Click here for more information</a>"		Fall 2011	2011-11-01	Annotation			Abbeville Press Publishers	2011				"<img hspace=6 align=LEFT width=161 height=124 alt=""Product Cover"" border=0 src=""/civilwarbookreview/images/jackets/GreatCWHeroes.jpg"">"						
6266	9781455621361	$25.95	Battle Hymn: The Best and Worst Civil War Generals		Richard M. Walsh			"<a href=""http://pelicanpub.com/proddetail.php?prod=9781455621361#.V5fGkmcUXcs"">Click here for more information</a>"		Summer 2016	2016-08-01	Annotation			Pelican Publishing Company	2016				"<img hspace=6 align=LEFT width=161 height=248 alt=""Product Cover"" border=0 src=""/civilwarbookreview/images/jackets/battlehymnwalsh.jpg"">"						
6261	9781611213300	$18.95	John Bell Hood: The Rise, Fall, and Resurrection of a Confederate General		Hood, Stephen M.			"<a href=""http://savasbeatie.com/search_fp.php?quickfind=john+bell+hood&x=0&y=0"">Click here for more information</a>"		Summer 2016	2016-08-01	Annotation			Savas Beatie	2016				"<img hspace=6 align=LEFT width=161 height=242 alt=""Product Cover"" border=0 src=""/civilwarbookreview/images/jackets/HOODhood1.jpg"">"						
6252	9781612003627	$32.95	Bluff, Bluster, Lies and Spies: The Lincoln Foreign Policy, 1861-1865		Perry, David			"<a href=""http://www.casematepublishers.com/index.php/bluff-bluster-lies-and-spies.html#.V5eCvWcUXcs"">Click here for more information</a>"		Summer 2016	2016-08-01	Annotation			Casemate Publishers	2016				"<img hspace=6 align=LEFT width=161 height=238 alt=""Product Cover"" border=0 src=""/civilwarbookreview/images/jackets/bluffperry.jpg"">"						
6257	9781625450609	$28.95	Texans at Gettysburg: Blood and Glory with Hood's Texas Brigade		Owen, Joseph L.	Drais, Randy S.		"<a href=""http://www.casematepublishers.com/index.php/texans-at-gettysburg.html#.V5oT_XqVDZJ"">Click here for more information</a>"		Summer 2016	2016-08-01	Annotation			Casemate Publishers	2016				"<img hspace=6 align=LEFT width=161 height=226 alt=""Product Cover"" border=0 src=""/civilwarbookreview/images/jackets/texansown.jpg"">"						
6256	9781612003580	$32.95	Sons of the White Eagle in the American Civil War: Divided Poles in a Divided Nation		Bielski, Mark F.			"<a href=""http://www.casematepublishing.co.uk/index.php/sons-of-the-white-eagle-in-the-american-civil-war.html"">Click here for more information</a>"		Summer 2016	2016-08-01	Annotation			Casemate Publishers	2016				"<img hspace=6 align=LEFT width=161 height=241 alt=""Product Cover"" border=0 src=""/civilwarbookreview/images/jackets/whitebielsky.jpg"">"						
6255	9780989609258	$15.95	Behind the Scenes: Or, Thirty Years a Slave, and Four Years in the White House		Keckley, Elizabeth Hobbs	Perkins-Valdez, Dolen		"<a href=""http://www.enopublishers.org/Site/Behind_the_Scenes.html"">Click here for more information</a>"		Summer 2016	2016-08-01	Annotation			Eno Publishers	2016				"<img hspace=6 align=LEFT width=161 height=241 alt=""Product Cover"" border=0 src=""/civilwarbookreview/images/jackets/KeckleyScenes-comp.jpg"">"						
6268	9781476662442	$39.95	Gaston County, North Carolina, In the Civil War		Carpenter, Robert C.			"<a href=""http://www.mcfarlandbooks.com/2016/04/newly-published-gaston-county-north-carolina-civil-war/"">Click here for more information</a>"		Summer 2016	2016-08-01	Annotation			McFarland Books	2016				"<img hspace=6 align=LEFT width=161 height=230 alt=""Product Cover"" border=0 src=""/civilwarbookreview/images/jackets/gatsoncarpenter.jpg"">"						
6263	9780786499403	$49.95	The Terrible Indian Wars of the West: A History from the Whitman Massacre to Wounded Knee,  1846-1890		Keenan, Jerry			"<a href=""http://www.mcfarlandbooks.com/2016/04/newly-published-terrible-indian-wars-west/"">Click here for more information</a>"		Summer 2016	2016-08-01	Annotation			McFarland Books	2016				"<img hspace=6 align=LEFT width=161 height=230 alt=""Product Cover"" border=0 src=""/civilwarbookreview/images/jackets/indiankeenan.jpg"">"						
6264	9780786494804	$45.00	The Cavalry of the Army of the Cumberland		Belcher, Dennis W.			"<a href=""http://www.mcfarlandbooks.com/2016/05/newly-published-cavalry-army-cumberland/"">Click here for more information</a>"		Summer 2016	2016-08-01	Annotation			McFarland Books	2016				"<img hspace=6 align=LEFT width=161 height=230 alt=""Product Cover"" border=0 src=""/civilwarbookreview/images/jackets/cumberlandcavbelcher.jpg"">"						
6260	9781476665214	$35.00	Confederate Cabinet Departments and Secretaries		Peterson, Dennis L.			"<a href=""http://www.mcfarlandbooks.com/2016/05/newly-published-confederate-cabinet-departments-secretaries/"">Click here for more information</a>"		Summer 2016	2016-08-01	Annotation			McFarland	2016				"<img hspace=6 align=LEFT width=161 height=242 alt=""Product Cover"" border=0 src=""/civilwarbookreview/images/jackets/departmentsconfedpeterson.jpg"">"						
6267	9780881465693	$35.00	A Just and Holy Cause?: The Civil War Letters of Marcus Bethune Ely and Martha Frances Ely		McCardle, Linda S.			"<a href=""http://www.mupress.org/A-Just-and-Holy-Cause-The-Civil-War-Letters-of-Marcus-Bethune-Ely-and-Martha-Frances-Ely-P897.aspx"">Click here for more information</a>"		Summer 2016	2016-08-01	Annotation			Mercer University Press	2016				"<img hspace=6 align=LEFT width=161 height=242 alt=""Product Cover"" border=0 src=""/civilwarbookreview/images/jackets/holycausemccardle.jpg"">"						
6253	9781612348148	$36.95	Amiable Scoundrel: Simon Cameron, Lincoln's Scandalous Secretary of War		Kahan, Paul			"<a href=""http://www.nebraskapress.unl.edu/product/Amiable-Scoundrel,677196.aspx"">Click here for more information</a>"		Summer 2016	2016-08-01	Annotation			Potomac Books	2016				"<img hspace=6 align=LEFT width=161 height=241 alt=""Product Cover"" border=0 src=""/civilwarbookreview/images/jackets/amiablekahncopy.jpg"">"						
6249	9781612347684	$27.95	Murdering the President: Alexander Graham Bell and the Race to Save James Garfield		Rosen, Fred			"<a href=""http://www.nebraskapress.unl.edu/product/Murdering-the-President,677268.aspx"">Click here for more information</a>"		Summer 2016	2016-08-01	Annotation			University of Nebraska Press	2016				"<img hspace=6 align=LEFT width=161 height=249 alt=""Product Cover"" border=0 src=""/civilwarbookreview/images/jackets/murderingrosen.jpg"">"						
6248	9780806153544	$29.95	Sign Talker: Hugh Lenox Scott Remembers Indian Country		Paul, Eli R			"<a href=""http://www.oupress.com/ECommerce/Book/Detail/2166/sign%20talker"">Click here for more information</a>"		Summer 2016	2016-08-01	Annotation			University of Oklahoma Press	2016				"<img hspace=6 align=LEFT width=161 height=243 alt=""Product Cover"" border=0 src=""/civilwarbookreview/images/jackets/signtalkerpaul.jpg"">"						
6265	9781611212587	$39.95	The Maps of the Wilderness: An Atlas of the Wilderness Campaign, Including all Cavalry Operations, May 2-6, 1864		Gottfried, Bradley M.			"<a href=""http://www.savasbeatie.com/books/book_page.php?bookVAR=MapsWilderness&bookType=about&authorID1=BMGottfried&authorID2=empty&authorID3=empty&authorID4=empty&authorID5=empty"">Click here for more information</a>"		Summer 2016	2016-08-01	Annotation			Savas Beatie	2016				"<img hspace=6 align=LEFT width=161 height=230 alt=""Product Cover"" border=0 src=""/civilwarbookreview/images/jackets/MapsWildernessGottfried.jpg"">"						
6250	9781611212044	$32.95	"""The Bloody Fifth"": The 5th Texas Infantry Regiment, Hood's Texas Brigade, Army of Northern Virginia"		Schmutz, John F.			"<a href=""http://www.savasbeatie.com/books/book_page.php?bookVAR=the_bloody_fifth&bookType=about&authorID1=JFSchmutz&authorID2=empty&authorID3=empty&authorID4=empty&authorID5=empty"">Click here for more information</a>"		Summer 2016	2016-08-01	Annotation			Savas Beatie	2016				"<img hspace=6 align=LEFT width=161 height=241 alt=""Product Cover"" border=0 src=""/civilwarbookreview/images/jackets/bloodyschmutz.jpg"">"						
6258	9780764350764	$39.99	Suppliers to the Confederacy: More British Imported Amrs and Accoutrements Vol. II		Barry, Craig L.	Burt, David C.		"<a href=""http://www.schifferbooks.com/suppliers-to-the-confederacy-volume-ii-more-british-imported-arms-and-accoutrements-5901.html"">Click here for more information</a>"		Summer 2016	2016-08-01	Annotation			Schiffer Publishing	2016				"<img hspace=6 align=LEFT width=161 height=239 alt=""Product Cover"" border=0 src=""/civilwarbookreview/images/jackets/supplierscraig.jpg"">"						
6259	9781623494162	$45.00	Panting for Glory: The Mississippi Rifles in the Mexican War		Winders, Richard Bruce			"<a href=""http://www.tamupress.com/product/Panting-For-Glory,8414.aspx"">Click here for more information</a>"		Summer 2016	2016-08-01	Annotation			Texas A&M University Press	2016				"<img hspace=6 align=LEFT width=161 height=236 alt=""Product Cover"" border=0 src=""/civilwarbookreview/images/jackets/pantingwinders1.jpg"">"						
6254	9780820347226	$26.96	Katharine and R.J. Reynolds: Partners of Fortune in the Making of the New South		Gillespie, Michele			"<a href=""http://www.ugapress.org/index.php/books/katharine_and_rj_reynolds/"">Click here for more information</a>"		Summer 2016	2016-08-01	Annotation			University of Georgia Press	2016				"<img hspace=6 align=LEFT width=161 height=243 alt=""Product Cover"" border=0 src=""/civilwarbookreview/images/jackets/partnersgillespie.jpg"">"						
6247	9780823271764	$40.00	Too Great a Burden to Bear: The Struggle and Failure of the Freedmen's Bureau in Texas		Bean, Christopher B.			"<a href=""https://global.oup.com/academic/product/too-great-a-burden-to-bear-9780823271764?cc=us&lang=en&"">Click here for more information</a>"		Summer 2016	2016-08-01	Annotation			Fordham University Press	2016				"<img hspace=6 align=LEFT width=161 height=242 alt=""Product Cover"" border=0 src=""/civilwarbookreview/images/jackets/toogreatbean.jpg"">"						
6246	9781611176469	$49.99	Flat Rock of the Old Time: Letters from the Mountains to the Lowcountry, 1837-1939		Cuthbert, Robert B.			"<a href=""https://www.sc.edu/uscpress/books/2016/7646.html"">Click here for more information</a>"		Summer 2016	2016-08-01	Annotation			The University of South Carolina Press	2016				"<img hspace=6 align=LEFT width=161 height=242 alt=""Product Cover"" border=0 src=""/civilwarbookreview/images/jackets/flatrockcuthbert.jpg"">"						
1549	962368814		The Sons of Lazarus		Carson, Leah			In this futuristic novel, military reenactment reaches new heights of historical accuracy at a theme park called Civil War fields. Union sergeant Matt Storey must take control when the staged battles cross the diminishing line between realism and reality.		Winter 2001	2000-12-01	Annotation			Excellent Words	1997-12-01		FicGeneral		"<img hspace=6 align=LEFT width=161 height=281 alt=""Product Cover"" border=0 src=""/civilwarbookreview/images/jackets/LeahCarsonTheSonsofLazarus.jpg"">"						
